title,Year,certificate,genre,details,lead_actors,gross collected
Jai Bhim,2021,TV-MA,Crime,When a tribal man is arrested for a case of alleged theft his wife turns to a human-rights lawyer to help bring justice.,Suriya,0
The Shawshank Redemption,1994,R,Drama,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.,Tim Robbins,28.34
The Godfather,1972,R,Crime,The Godfather follows Vito Corleone Don of the Corleone family as he passes the mantel to his unwilling son Michael.,Marlon Brando,134.97
The Dark Knight,2008,PG-13,Action,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.,Christian Bale,534.86
The Godfather: Part II,1974,R,Crime,The early life and career of Vito Corleone in 1920s New York City is portrayed while his son Michael expands and tightens his grip on the family crime syndicate.,Al Pacino,57.3
12 Angry Men,1957,Approved,Crime,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Henry Fonda,4.36
The Lord of the Rings: The Return of the King,2003,PG-13,Action,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Elijah Wood,377.85
Pulp Fiction,1994,R,Crime,The lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption.,John Travolta,107.93
Schindler's List,1993,R,Biography,In German-occupied Poland during World War II industrialist  gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.,Liam Neeson,96.9
Inception,2010,PG-13,Action,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O. but his tragic past may doom the project and his team to disaster.,Leonardo DiCaprio,292.58
Spider-Man: No Way Home,2021,PG-13,Action,With Spider-Man's identity now revealed Peter asks Doctor Strange for help. When a spell goes wrong dangerous foes from other worlds start to appear forcing Peter to discover what it truly means to be Spider-Man.,Tom Holland,0
Fight Club,1999,R,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Brad Pitt,37.03
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,Action,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Elijah Wood,315.54
Forrest Gump,1994,PG-13,Drama,The presidencies of Kennedy and Johnson the Vietnam War the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75 whose only desire is to be reunited with his childhood sweetheart.,Tom Hanks,330.25
The Good the Bad and the Ugly,1966,R,Adventure,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Clint Eastwood,6.1
The Lord of the Rings: The Two Towers,2002,PG,Action,While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum the divided fellowship makes a stand against Sauron's new ally Saruman and his hordes of Isengard.,Elijah Wood,342.55
The Matrix,1999,R,Action,When a beautiful stranger leads computer hacker Neo to a forbidding underworld he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.,Lilly Wachowski,171.48
Goodfellas,1990,R,Biography,The story of  and his life in the mob covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.,Robert De Niro,46.84
Star Wars: Episode V - The Empire Strikes Back,1980,PG,Action,After the Rebels are brutally overpowered by the Empire on the ice planet Hoth Luke Skywalker begins Jedi training with Yoda while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.,Mark Hamill,290.48
One Flew Over the Cuckoo's Nest,1975,R,Drama,A criminal pleads insanity and is admitted to a mental institution where he rebels against the oppressive nurse and rallies up the scared patients.,Jack Nicholson,112
Parasite,2019,R,Comedy,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Kang-ho Song,53.37
Interstellar,2014,PG-13,Adventure,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Matthew McConaughey,188.02
City of God,2002,R,Crime,In the slums of Rio two kids' paths diverge as one struggles to become a photographer and the other a kingpin.,Kátia Lund,7.56
Spirited Away,2001,PG,Animation,During her family's move to the suburbs a sullen 10-year-old girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts.,Daveigh Chase,10.06
Saving Private Ryan,1998,R,Drama,Following the Normandy Landings a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.,Tom Hanks,216.54
The Green Mile,1999,R,Crime,The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape yet who has a mysterious gift.,Tom Hanks,136.8
Life Is Beautiful,1997,PG-13,Comedy,When an open-minded Jewish waiter and his son become victims of the Holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp.,Roberto Benigni,57.6
Se7en,1995,R,Crime,Two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives.,Morgan Freeman,100.13
The Silence of the Lambs,1991,R,Crime,A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims.,Jodie Foster,130.74
Star Wars: Episode IV - A New Hope,1977,PG,Action,Luke Skywalker joins forces with a Jedi Knight a cocky pilot a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station while also attempting to rescue Princess Leia from the mysterious Darth Vader.,Mark Hamill,322.74
Hara-Kiri,1962,Not Rated,Action,When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.,Tatsuya Nakadai,0
Seven Samurai,1954,Not Rated,Action,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Toshirô Mifune,0.27
It's a Wonderful Life,1946,PG,Drama,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,James Stewart,0
Whiplash,2014,R,Drama,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Miles Teller,13.09
The Intouchables,2011,R,Biography,After he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver.,Éric Toledano,13.18
The Prestige,2006,PG-13,Drama,After a tragic accident two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.,Christian Bale,53.09
The Departed,2006,R,Action,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Leonardo DiCaprio,132.38
The Pianist,2002,R,Biography,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Adrien Brody,32.57
Gladiator,2000,R,Action,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Russell Crowe,187.71
American History X,1998,R,Drama,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Edward Norton,6.72
The Usual Suspects,1995,R,Crime,A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which began when five criminals met at a seemingly random police lineup.,Kevin Spacey,23.34
Léon: The Professional,1994,R,Action,12-year-old Mathilda is reluctantly taken in by Léon a professional assassin after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.,Jean Reno,19.5
The Lion King,1994,G,Animation,Lion prince Simba and his father are targeted by his bitter uncle who wants to ascend the throne himself.,Rob Minkoff,422.78
Terminator 2: Judgment Day,1991,R,Action,A cyborg identical to the one who failed to kill Sarah Connor must now protect her ten-year-old son John from a more advanced and powerful cyborg.,Arnold Schwarzenegger,204.84
Cinema Paradiso,1988,R,Drama,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Philippe Noiret,11.99
Grave of the Fireflies,1988,Not Rated,Animation,A young boy and his little sister struggle to survive in Japan during World War II.,Tsutomu Tatsumi,0
Back to the Future,1985,PG,Adventure,Marty McFly a 17-year-old high school student is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend the eccentric scientist Doc Brown.,Michael J. Fox,210.61
Once Upon a Time in the West,1968,PG-13,Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Henry Fonda,5.32
Psycho,1960,R,Horror,A Phoenix secretary embezzles $40000 from her employer's client goes on the run and checks into a remote motel run by a young man under the domination of his mother.,Anthony Perkins,32
Rear Window,1954,PG,Mystery,A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window and becomes convinced one of them has committed murder despite the skepticism of his fashion-model girlfriend.,James Stewart,36.76
Casablanca,1942,PG,Drama,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Humphrey Bogart,1.02
Modern Times,1936,G,Comedy,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,0.16
City Lights,1931,G,Comedy,With the aid of a wealthy erratic tippler a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.,Charles Chaplin,0.02
Hamilton,2020,PG-13,Biography,The real life of one of America's foremost founding fathers and first Secretary of the Treasury Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.,Lin-Manuel Miranda,0
Capernaum,2018,R,Drama,While serving a five-year sentence for a violent crime a 12-year-old boy sues his parents for neglect.,Zain Al Rafeea,1.66
Joker,2019,R,Crime,In Gotham City mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.,Joaquin Phoenix,335.45
Your Name.,2016,PG,Animation,Two strangers find themselves linked in a bizarre way. When a connection forms will distance be the only thing to keep them apart?,Ryûnosuke Kamiki,5.02
Dangal,2016,Not Rated,Action,Former wrestler  and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Aamir Khan,12.39
